Pertanyaan,Pilihan Ganda,Jawaban
Segmentasi berbasis profil (profile-based segmentation) digunakan untuk,"a. Mengidentifikasi siapa pelanggan berdasarkan demografi dan perilaku
b. Mengukur kontribusi profit jangka panjang dari pelanggan
c. Menentukan nilai strategis non-moneter pelanggan
d. Mengukur loyalitas pelanggan dengan CLV
e. Menentukan kebutuhan laten yang belum tampak",e
Salah satu kelemahan segmentasi pasar adalah…,"a. Selalu menghasilkan segmen yang komprehensif
b. Tidak memperhitungkan perbedaan penting dalam satu segmen
c. Membuat perusahaan kehilangan seluruh basis konsumennya
d. Tidak dapat diaplikasikan pada pasar digital
e. Menghilangkan relevansi prinsip targeting",b
"Dalam segmentasi, diferensiasi diartikan sebagai Apa?","a. Menyatukan semua pelanggan dengan kebutuhan yang sama
b. Membagi pasar massal menjadi segmen dengan kebutuhan serupa di dalam segmen tetapi berbeda antar segmen
c. Mengurangi variasi produk agar lebih efisien
d. Membagi pelanggan berdasarkan lokasi distribusi
e. Menggabungkan produk-produk dalam satu kategori",b
Bagaimana proses aglomerasi dilakukan dalam segmentasi Pasar?,"a. Membagi pelanggan secara acak berdasarkan preferensi
b. Mengelompokkan pelanggan individual dengan kebutuhan unik menjadi segmen yang lebih besar berdasarkan kesamaan
c. Menyediakan satu produk universal untuk semua pelanggan
d. Menggabungkan semua segmen menjadi satu pasar massal
e. Mengklasifikasikan produk berdasarkan harga",b
Empat prinsip utama agar segmentasi efektif adalah,"a. Profitable, Flexible, Sustainable, Simple
b. Measurable, Accessible, Substantial, Actionable
c. Relevant, Reliable, Responsive, Responsible
d. Value-based, Profile-based, Strategic, Tactical
e. Focused, Efficient, Competitive, Creative",b
1. Kemampuan pelanggan dalam mempengaruhi pembeli lainnya merupakan salah satu strategis dari empat jenis utama nilai strategis yang disebut,"A. Product-line Value
B. Information Value
C. Communication Value
D. Scale Value
E. Integrity Value",c
2. Target Compability (Kompabilitas Target) merupakan kemampuan perusahaan dalam memenuhi kebutuhan pelanggan dengan lebih baik disbanding pesaing. Sumber daya juga termasuk aset strategis yang esesnsial untuk kesuksesan sebuah model bisnis. Berikut ini yang tepat dari bagian kompabilitas target adalah?,"A.Human Capital, Collaborators Networks dan Strong Brands

B. Human Capital, Cost Efficiency, dan Strong Brands

C.Over Segmentation, Collaborators Networks dan Strong Brands

D.Human Capital, Collaborators Networks dan Customer Lifetime Value

E.Collaborators Networks, Customer Lifetime Value dan Stromg Brands",a
3.Penentuan profil pelanggan didasarkan pada dua faktor utama yakni faktor demografis dan faktor perilaku. Kedua faktor ini saling melengkapi dan tidak dapat dipisahkan dalam proses identifikasi pelanggan target. Manakah yang bukan merupakan bagian dari faktor demografis,"A. Usia
B. Loyalitas
C. Pendidikan
D. Lokasi geografis
E. Status pekerjaan.",a
4. Manakah dibawah ini yang merupakan kelemahan dari lini produk?,"A. Menyebabkan biaya pengembangan, komunikasi dan distribusi yang lebih tinggi
B. Menciptakan nilai bagi sebuah perusahaan
C. Mengurangi resiko bisnis
D. Menumbuhkan diferensiasi yang kuat
E. Mengurangi risiko bisnis dan efisiensi dalam pemanfaatan sumber daya",a
5.Segmentasi utama memiliki beberapa prinsip utama agar pengelompokkan nya lebih efektif. Salah satu prinsip utamanya adalah Actionable (Komprehensif). Manakah makna yang paling tepat terkait prinsip komprehensif?,"A. Pelanggan di setiap segmentasi pasar harus berbeda (heterogen) dari pelanggaan di segmen lain dengan penawaran perusahaan

B. Mengelompokkan pelanggan dengan preferensi yang seragam

C. Segmentasi pasar tanpa tujuan mengakibatkan pemborosan sumber daya perusahaan.

D. Segmen yang harus mencakup semua calon pelanggan terhadap pasar tertentu sehingga seluruh pelanggan tercakup pada satu kelompok segmen

E. Pendekatan yang melibatkan pengelompokkan pelangganan yang telah diidentifikasi sebagai target strategis kedalam segmen berdasarkan profil dan perilaku pelanggan",d
"1. Dalam konteks Penargetan Strategis, kemampuan pelanggan untuk menghasilkan keuntungan bagi perusahaan (pendapatan dikurangi biaya melayani pelanggan) disebut:","A. Monetary Value 
B. Product-line Value
C. Information Value
D. Scale Value
E. Communication Value",a
"2. Dalam Perspektif Kompetitif Chernev, identifikasi target pelanggan optimal melibatkan tumpang tindih antara Kebutuhan Pelanggan, Sumber Daya Perusahaan, dan Sumber Daya Pesaing. Segmen pelanggan yang merupakan target optimal karena perusahaan dapat menciptakan nilai unggul bagi mereka dan melayani lebih baik daripada pesaing (yaitu, daya tarik tinggi dan persaingan minim), sering disebut sebagai:","A. Red Oceans
B. Company's Ideal Target Customers
C. Unmet Customer Needs
D. Competitors' Ideal Target Customers
E. Competitive Wasteland",b
"3. Strategi yang mengembangkan satu penawaran yang sama untuk semua pelanggan, yang seringkali tidak efektif di pasar yang heterogen, dikenal sebagai","A. Segmentation Strategy
B. One-for-Each Strategy
C. Blue Ocean Strategy
D. Sniper Targeting
E. One-for-All Strategy",e
4. Manakah dari faktor-faktor berikut yang termasuk dalam **Faktor Berbasis Profil (*Profile-Based Factors*)** yang mudah diamati dan menjadi fokus utama **Penargetan Taktis**?,"A. Nilai moneter dan nilai strategis
B. Umur, jenis kelamin, pendapatan, dan lokasi geografis
C. Infrastruktur bisnis dan modal manusia
D. Daya tarik target dan kompabilitas target
E. Kebutuhan pelanggan dan kesediaan untuk membayar",b
"5. Dalam konteks Strategic Value, kemampuan pelanggan untuk mempengaruhi pembeli lainnya (misalnya, menargetkan opinion leader, trendsetter, atau influencer) disebut:","A. Monetary Value 
B. Product-line Value
C. Information Value
D. Scale Value
E. Communication Value",e
Sebuah perusahaan melakukan segmentasi pasar berdasarkan gaya hidup dan kepribadian pelanggan. Jenis segmentasi apa yang dilakukan perusahaan ini?,"A. Psikografis
B. Demografis
C. Geografis
D. Perilaku (Behavioural)
E. Moneter",a
Strategi mengembangkan penawaran yang berbeda untuk masing-masing pelanggan dikenal sebagai strategi apa?,"A. One-for-All Strategy
B. One-for-Each Strategy
C. Strategic Targeting
D. Individual Targeting
E. Segment-based Targeting",b
Manakah yang bukan termasuk jenis utama dari strategic value?,"A. Product-line value
B. Scale value
C. Personal value
D. Communication value
E. Information value",c
"Dalam konteks perspektif kompetitif dalam strategic targeting, kompetisi yang berlebihan dianggap berbahaya. Manakah alasan yang tepat untuk mendukung hal ini?","A. Kompetitif berlebihan tidak berbahaya sama sekali
B. Perusahaan dapat mengeluarkan biaya yang besar
C. Kompetisi berlebihan dapat menimbulkan permusuhan antarperusahaan
D. Perusahaan dapat melupakan kebutuhan pelanggan dan menciptakan produk yang tidak relevan
E. Perusahaan dapat menargetkan pelanggan yang tidak tepat",d
Manakah pernyataan yang paling tepat dalam menjelaskan hubungan antara segmentasi dan targeting?,"A. Segmentasi adalah langkah pertama yang harus diselesaikan sepenuhnya sebelum perusahaan melakukan targeting
B. Segmentasi berbasis nilai digunakan untuk tujuan taktis, sedangkan segmentasi berbasis profil digunakan untuk tujuan strategis.
C. Tujuan utama segmentasi adalah untuk membuat sebanyak-banyaknya segmen sehingga lebih banyak potensi segmen yang dapat ditargetkan
D. Perusahaan harus memilih salah satu antara segmentasi dan targeting
E. Segmentasi perlu mempertimbangkan tujuan targeting untuk memfasilitasi penargetan sehingga agar hasilnya relevan",e
"Penargetan strategis (Strategic Targeting) memiliki tujuan untuk mengoptimalkan nilai bagi pelanggan, perusahaan, dan mitrA. Dalam pelaksanaannya, strategic targeting ini memiliki dua kriteria yaitu target attractiveness dan target compatibility. Berikut merupakan bagian dari target attractiveness, kecuali:","A. Moneter value 
B. Strategic value 
C. Information value 
D. Product-line value 
E. Collaborator networks",e
"Penargetan mencerminkan niat perusahaan untuk memfokuskan strategi pada segmen pelanggan tertentu. Dalam menciptakan suatu penargetan yang efisien, sering dijumpai kesalahan dalam praktik penargetan yang disajikan pada gambar berikut. pernyataan berikut yang benar terkait gambar dibawah ini adalah (gambar shotgun targeting (broad)):","A. Penargetan sempurna, semua pelanggan sesuai nilai dan profil target, sangat jarang terjadi.
B. Penargetan terlalu sempit, yaitu ketika profil target terlalu terbatas sehingga hanya mencakup sebagian kecil dari pasar potensial, yang dapat menyebabkan perusahaan melewatkan peluang strategis
C. Penargetan terlalu spesifik atau menyimpang, dimana profil pelanggan yang ditentukan tidak sesuai sama sekali dengan target yang diinginkan, sehingga menyebabkan pemborosan sumber daya karena tidak ada tumpang tindih antara target dan pelanggan aktual.
D. Penargetan terlalu luas, yaitu ketika perusahaan menetapkan profil pelanggan terlalu umum sehingga mencakup banyak non pelanggan.
E. Pernyataan a, b, c, dan d semua salah",d
Prinsip segmentasi yang menekankan bahwa segmentasi seharusnya dilakukan berdasarkan kemungkinan respon pelanggan terhadap penawaran perusahaan adalah …,"A. Kesamaan (Accessible)
B. Eksklusivitas (Substantial)
C. Relevansi (Measurable)
D. Komprehensif (Defendable)
E. Homogenitas (Homogeneous)",c
Proses diferensiasi dalam segmentasi menggambarkan …,"A. Pemecahan pasar menjadi kelompok dengan kebutuhan serupa
B. Penyatuan berbagai segmen menjadi satu pasar besar
C. Penetapan strategi untuk menyamakan kebutuhan pelanggan
D. Perbedaan kebutuhan dan sumber daya antar segmen
E. Homogenisasi pasar agar lebih luas",d
Manakah pernyataan yang paling tepat mengenai segmentasi pasar?,"A. Segmentasi pasar hanya berfokus pada perbedaan antar produk.
B. Segmentasi pasar bertujuan menyingkirkan pelanggan yang tidak relevan.
C. Segmentasi pasar adalah pengelompokan pelanggan berdasarkan kebutuhan dan perbedaan relevan.
D. Segmentasi pasar berarti menjual produk yang sama ke semua orang.
E. Segmentasi pasar hanya dilakukan untuk efisiensi biaya.",c
"Dalam konteks kerangka 3-V (Customer, Company, Collaborator Value) Chernev, keputusan penargetan strategis berfungsi sebagai prasyarat fundamental. Manakah dari pernyataan berikut yang paling akurat menjelaskan hubungan kausal ini?","A. Penargetan strategis memaksimalkan Company Value dengan memilih segmen terbesar, yang kemudian secara otomatis menciptakan Customer Value melalui skala ekonomi.
B. Penargetan strategis adalah proses mendefinisikan Customer Value secara spesifik untuk sebuah kelompok, yang merupakan satu-satunya cara untuk memastikan bahwa Company Value dan Collaborator Value dapat direalisasikan secara berkelanjutan.
C. Penargetan strategis mengidentifikasi kolaborator dengan jangkauan terluas, yang kemudian menentukan segmen pelanggan mana yang paling efisien untuk dilayani.
D. Penargetan strategis berfokus pada penciptaan Company Value melalui efisiensi biaya taktis, yang hasilnya diinvestasikan kembali untuk meningkatkan Customer Value.
E. Penargetan strategis menyeimbangkan ketiga jenis nilai secara bersamaan dalam satu keputusan, tanpa ada urutan prioritas.",b
"Sebuah perusahaan perangkat lunak B2B sedang mengevaluasi kembali strategi penargetannyA. Saat ini, mereka menggunakan pendekatan berbasis segmen, menargetkan ""perusahaan manufaktur skala menengah"". Mereka mempertimbangkan untuk beralih ke penargetan individual (hyper-personalization) yang didukung AI. Implikasi paling signifikan dari pergeseran strategis ini terhadap kapabilitas inti (core capabilities) perusahaan adalah...","A. Pergeseran dari kompetensi dalam manajemen merek dan komunikasi massal ke keunggulan dalam analisis data granular dan manajemen siklus hidup pelanggan.
B. Pergeseran dari fokus pada efisiensi operasional rantai pasok ke keunggulan dalam negosiasi kontrak penjualan volume besar.
C. Pergeseran dari kapabilitas inovasi produk yang cepat ke keunggulan dalam manajemen saluran distribusi fisik.
D. Pergeseran dari keahlian dalam riset pasar kualitatif (FGD) ke keunggulan dalam penetapan harga berbasis biaya (cost-plus pricing).
E. Pergeseran dari fokus pada kepatuhan regulasi industri ke keunggulan dalam lobi pemerintah.",a
"Sebuah produsen mobil listrik mewah sedang mengevaluasi segmen ""profesional muda perkotaan yang peduli lingkungan"". Saat menganalisis Target Attractiveness segmen ini, manajer pemasaran menemukan bahwa meskipun daya beli moneter mereka saat ini moderat, mereka sangat aktif di media sosial dan sering menjadi panutan tren teknologi di komunitas merekA. Menurut kerangka Chernev, pengaruh sosial ini harus diklasifikasikan sebagai...","A. Bagian dari Target Compatibility, karena berkaitan dengan kemampuan perusahaan untuk memanfaatkan media sosial.
B. Komponen Communication Value dalam Target Attractiveness.
C. Komponen Information Value dalam Target Attractiveness.
D. Faktor risiko dalam Target Compatibility, karena opini mereka bisa berubah dengan cepat.
E. Metrik penargetan taktis yang tidak relevan untuk evaluasi strategis.",b
"Sebuah perusahaan jasa keuangan meluncurkan kampanye yang sangat sukses secara taktis, dengan click-through-rate (CTR) dan engagement yang tinggi di kalangan audiens yang didefinisikan sebagai ""milenial dengan pendapatan di atas rata-rata"". Namun, tingkat konversi menjadi nasabah baru sangat rendah. Berdasarkan kerangka penargetan dua tingkat Chernev, kegagalan ini paling mungkin disebabkan oleh disonansi antara...","A. Penargetan taktis yang efektif dan analisis Target Attractiveness yang keliru.
B. Penargetan taktis yang efektif dan analisis Target Compatibility yang tidak memadai.
C. Segmentasi demografis dan segmentasi psikografis.
D. Proposisi nilai perusahaan dan strategi penetapan harganya.
E. Tujuan (Goal) dan Implementasi dalam kerangka G-STIC.",b
"Manakah dari skenario berikut yang paling tepat menggambarkan proses di mana profil pelanggan (misalnya, data psikografis) yang biasanya digunakan untuk penargetan taktis, secara sah diintegrasikan ke dalam proses penargetan strategis?","A. Ketika tim media menggunakan data gaya hidup untuk memutuskan apakah akan beriklan di Instagram atau LinkedIn.
B. Ketika tim produk menyadari bahwa data psikografis menunjukkan kebutuhan tersembunyi (latent need) yang tidak terpenuhi, yang mengarah pada keputusan untuk memprioritaskan segmen ini meskipun potensi moneternya lebih rendah daripada segmen lain.
C. Ketika tim penjualan membuat persona pelanggan fiksi berdasarkan data demografis untuk melatih staf baru.
D. Ketika tim keuangan menggunakan data perilaku pembelian untuk memproyeksikan pendapatan dari segmen yang sudah ada.
E. Ketika tim kreatif menggunakan data minat dan hobi untuk merancang visual iklan yang lebih menarik bagi target yang telah ditentukan.",b
"Sebuah perusahaan teknologi ingin meluncurkan produk smartphone baru. Agar dapat bersaing, perusahaan harus menciptakan value proposition yang kuat. Manakah strategi yang paling tepat sesuai konsep value proposition?","A. Menawarkan produk dengan harga setinggi mungkin agar dianggap premium tanpa memperhatikan manfaatnya
B. Memberikan fitur dan manfaat yang sesuai dengan kebutuhan target pasar serta menekankan keunggulan dibanding pesaing
C. Mengandalkan promosi besar-besaran tanpa memperhatikan kualitas produk
D. Menawarkan produk dengan desain sama persis seperti pesaing terdekat
E. Mengurangi biaya promosi agar harga lebih murah dari kompetitor",b
"Positioning adalah cara perusahaan menanamkan citra produk dalam benak konsumen. Jika sebuah perusahaan kopi ingin memposisikan dirinya sebagai kopi premium, strategi mana yang tidak sesuai dengan positioning tersebut?","A. Menggunakan kemasan eksklusif dan elegan
B. Menyediakan pengalaman minum kopi yang nyaman dan berkelas
C. Menawarkan harga sangat murah untuk semua segmen pasar
D. Menekankan kualitas biji kopi terbaik dalam promosi
E. Mengasosiasikan merek dengan gaya hidup modern",c
"Dalam pengembangan value proposition, perusahaan perlu menjawab pertanyaan penting: “Mengapa pelanggan harus memilih produk kita dibanding pesaing?”. Pertanyaan ini berhubungan langsung dengan…","A. Diferensiasi dan keunikan manfaat yang ditawarkan perusahaan
B. Jumlah produk yang diproduksi perusahaan per bulan
C. Tingkat harga bahan baku yang digunakan dalam proses produksi
D. Strategi perusahaan untuk mengurangi jumlah pesaing di pasar
E. Kecepatan perusahaan dalam mengganti manajemen",a
Sebuah perusahaan transportasi online mengidentifikasi bahwa alasan utama pelanggan memilih layanan mereka adalah kemudahan akses dan kecepatan sampai tujuan. Hal ini menunjukkan bahwa perusahaan telah berhasil…,"A. Mengurangi biaya operasional perusahaan
B. Mengidentifikasi primary benefit yang menjadi nilai inti bagi pelanggan
C. Menentukan strategi promosi dengan iklan massal
D. Memperluas produk tanpa memperhatikan kebutuhan inti pelanggan
E. Menetapkan harga lebih tinggi untuk menambah keuntungan",b
"Sebuah perusahaan pakaian olahraga global ingin memperkuat posisinya di pasar. Dalam kampanye terbarunya, mereka menekankan pesan “Just Do It”, yang bertujuan membangkitkan motivasi dan identitas gaya hidup aktif pada pelanggan.

Apa yang paling tepat menggambarkan strategi positioning perusahaan tersebut","A. Product leadership – berfokus hanya pada kualitas teknis produk olahraga
B. Customer intimacy – menekankan hubungan personal dengan setiap pelanggan
C. Lifestyle positioning – mengaitkan merek dengan nilai, aspirasi, dan identitas pelanggan
D. Operational excellence – menekan biaya agar harga menjadi lebih rendah
E. Functional positioning – menekankan hanya pada manfaat fungsional produk",c
Apa tujuan utama dari developing a competitive advantage?,"A. Meningkatkan harga produk setinggi mungkin
B. Memenuhi kebutuhan pelanggan lebih baik daripada pesaing
C. Membatasi pilihan pelanggan agar hanya membeli produk tertentu
D. Menyediakan produk sebanyak-banyaknya di pasar
E.Menurunkan harga serendah-rendahnya",b
Apa yang dimaksud dengan positioning dalam pemasaran?,"A. Proses menurunkan biaya produksi
B. Proses membangun citra dan persepsi penawaran di benak konsumen
C. Proses menambah jumlah atribut produk tanpa henti
D. Proses menghapus pesaing dari pasar
E. Proses kerjasama dengan pesaing",b
"Diferensiasi adalah upaya untuk membedakan suatu produk atau penawaran dari produk pesaing, atribut diferensiasi apa yang dapat menciptakan keunggulan kompetitif?","A. Diferensiasi pada atribut yang dianggap penting dan relevan oleh pelanggan
B. Diferensiasi yang rumit meskipun tidak dipahami pelanggan
C. Diferensiasi pada semua atribut tanpa melihat relevansinya
D. Diferensiasi yang hanya menguntungkan produsen
E. Semua jawaban salah",a
"Pada Gambar Competitive Value Map (CVM), Pada atribut mana perusahaan memiliki competitive advantage dibanding pesaing? (Gambar CVM)","A. Atribut 2
B. Atribut 3
C. Atribut 4
D. Atribut 5
E. Atribut 1",a
"Pada Gambar Competitive Value Map (CVM), Jika perusahaan ingin meningkatkan daya saing berdasarkan grafik, strategi terbaik adalah… (Gambar CVM)","A. Meningkatkan kinerja pada atribut dengan competitive disadvantage
B. Menambahkan atribut baru yang tidak dimiliki pesaing
C. Meningkatkan persepsi pentingnya atribut di mana perusahaan sudah unggul
D. Jawaban A - C Benar
E. Jawaban 1-C salah",d
"Menurut kerangka kerja Alexander Chernev, proposisi nilai (value proposition) yang paling efektif adalah yang berfokus pada...","A. Menawarkan harga terendah dibandingkan semua pesaing di pasar.
B. Keunggulan utama yang memberikan nilai paling besar bagi target pelanggan, relatif terhadap alternatif terbaik berikutnya.
C. Menciptakan citra merek yang mewah dan eksklusif terlepas dari target pasarnya.
D. Manfaat fungsional produk tanpa mempertimbangkan nilai psikologis atau moneter.
E. Menyebutkan semua fitur unggulan yang dimiliki produk untuk menunjukkan superioritas teknis.",b
"Sebuah perusahaan mobil listrik memposisikan kendaraannya tidak hanya sebagai alat transportasi (nilai fungsional), tetapi juga sebagai simbol status kepedulian terhadap lingkungan (nilai psikologis). Dalam menciptakan nilai pelanggan, pendekatan ini mengilustrasikan...","A. Hanya mengandalkan Points of Parity (POP).
B. Kegagalan dalam mendefinisikan target pelanggan.
C. Fokus eksklusif pada nilai moneter.
D. Strategi yang mengabaikan frame of reference kompetitif.
E. Penciptaan nilai melalui berbagai dimensi (fungsional dan psikologis).",e
"Saat meluncurkan minuman energi baru, sebuah perusahaan memutuskan untuk memposisikannya sebagai 'minuman untuk meningkatkan fokus saat bekerja', bukan sebagai 'minuman untuk olahraga'. Keputusan ini adalah contoh penetapan...","A. Point of Parity (Titik Kesamaan).
B. Frame of Reference (Kerangka Acuan).
C. Point of Difference (Titik Perbedaan).
D. Value Proposition (Proposisi Nilai).
E. Customer Value (Nilai Pelanggan)",b
"Sebuah bank digital baru ingin bersaing dengan bank konvensional. Mereka memastikan bahwa layanan dasar seperti transfer, cek saldo, dan keamanan data (Points of Parity) setara dengan bank lain. Namun, mereka sangat menonjolkan fitur pembuatan anggaran otomatis dan analisis pengeluaran cerdas sebagai keunggulan utama (Points of Difference). Strategi positioning ini bertujuan untuk...","A. Menciptakan kategori pasar yang sepenuhnya baru.
B. Membingungkan pesaing dengan menawarkan terlalu banyak fitur.
C. Menjadi relevan di dalam kategori sambil memberikan alasan kuat untuk dipilih.
D. Mengabaikan kelemahan kompetitif dan hanya fokus pada kekuatan.
E. Hanya menargetkan pelanggan yang belum pernah menggunakan layanan bank.",c
"Sebuah perusahaan perangkat lunak menyadari bahwa produknya memiliki fitur yang lebih sedikit daripada pemimpin pasar, tetapi unggul dalam hal kemudahan penggunaan dan layanan pelanggan. Strategi positioning yang paling tepat bagi mereka adalah...","A. Menurunkan harga secara drastis untuk mengkompensasi kekurangan fitur.
B. Memposisikan produk secara vertikal: menyoroti keunggulan pada atribut kunci (kemudahan penggunaan) daripada bersaing langsung pada jumlah fitur.
C. Mengubah target pasar ke segmen non-teknis yang tidak peduli fitur.
D. Menyembunyikan fakta bahwa produk mereka memiliki lebih sedikit fitur.
E. Mencoba menyamai semua fitur pemimpin pasar sambil mempertahankan kemudahan penggunaan.",b
1. Dua aspek utama sebagai kunci untuk menciptakan nilai pelanggan (customer value) adalah:,"A. Diferensiasi Produk dan Keunggulan Kompetitif.
B. Monetary Value dan Psychological Value.
C. Segmentasi Pasar dan Targeting.
D. Loss Aversion dan Reference-Point Dependence.
E. Proposisi Nilai (Value Proposition) dan Penentuan Posisi (Positioning).",e
"2. Dalam mendefinisikan esensi dari nilai pelanggan (The Essence of Customer Value), nilai pelanggan disebutkan memiliki dua aspek penting yang patut diperhatikan, yaitu:","A. Bersifat universal dan dapat diukur secara objektif.
B. Bersifat fungsional dan moneter.
C. Bersifat idiosinkratis dan berwujud secara fisik di pasar.
D. Bersifat tidak berwujud (intangible) dan bersifat subjektif (penilaian pelanggan).
E. Bersifat moneter dan ditentukan oleh harga.",d
3. Nilai Fungsional adalah salah satu dari tiga domain nilai pelanggan. Atribut penawaran yang secara langsung tidak terkait dengan penciptaan nilai fungsional adalah:,"A. Kinerja (performance) dan Keandalan (reliability). 
B. Ketahanan (durability) dan Kompatibilitas (compatibility). 
C. Kemudahan Penggunaan dan Desain (design). 
D. Kustomisasi (customization) dan Kemasan (packaging).
E. Status sosial dan Gaya Hidup yang diwakili oleh penawaran.",e
"4. Dalam konteks Nilai Moneter, yang merupakan salah satu dari tiga domain nilai pelanggan, penawaran dapat memberikan manfaat moneter kepada pelanggan. Contoh manfaat moneter yang disebutkan adalah:","A. Kinerja produk yang lebih unggul dibandingkan pesaing.
B. Kemudahan penggunaan dan desain yang ergonomis.
C. Penawaran pengembalian uang tunai (cash-back), bonus moneter, atau pembiayaan dengan bunga rendah.
D. Manfaat emosional yang meningkatkan self-esteem pelanggan.
E. Peningkatan keandalan dan ketahanan produk.",c
"5. The Value Function, mengidentifikasi fungsi nilai pelanggan menjadi sangat penting bagi manajer karena memungkinkan perusahaan untuk:","A. Menghitung total biaya produksi untuk setiap penawaran.
B. Membandingkan strategi positioning perusahaan dengan pesaing.
C. Mengukur nilai moneter yang didapatkan pelanggan setelah pembelian.
D. Mengidentifikasi dan memprioritaskan aspek penawaran mana yang harus ditingkatkan berdasarkan potensinya dalam menciptakan customer value.
E. Menentukan harga diskon yang paling menarik bagi pelanggan yang sensitif terhadap harga.",d
